key,en,ru,fr
"nav.station","Station","Станция","Station"
"nav.coffee","Coffee","Кофе","Caf&eacute;"
"nav.process","Process","Процесс","Processus"
"nav.gallery","Gallery","Галерея","Galerie"
"nav.tours","Tours","Туры","Visites"
"nav.cta","Get Offers","Получить цены","Voir les tarifs"
"nav.toggleOpen","Menu","Меню","Menu"
"nav.toggleClose","Close","Закрыть","Fermer"
"hero.title","Ruvumbu<br>Coffee Station","Ruvumbu<br>Coffee Station","Ruvumbu<br>Coffee Station"
"hero.lead","Specialty coffee from the highlands of Rwanda. Farm-direct wholesale and curated farm tours for roasters, buyers, and coffee enthusiasts.","Элитный кофе с высокогорий Руанды. Прямые оптовые поставки с фермы и авторские туры для обжарщиков, байеров и любителей кофе.","Caf&eacute; de sp&eacute;cialit&eacute; des hauts plateaux du Rwanda. Vente en gros directe de la ferme et visites sur mesure pour torr&eacute;facteurs, acheteurs et amateurs de caf&eacute;."
"hero.ctaQuote","Get Offers","Получить цены","Voir les tarifs"
"hero.ctaTour","Book a farm tour","Забронировать тур","R&eacute;server une visite"
"station.h2","From our hills to your cup","От наших холмов до вашей чашки","De nos collines &agrave; votre tasse"
"station.lead","Ruvumbu sits on the ridges of Nyamasheke, where altitude, volcanic soil and slow ripening produce exceptional Arabica.","Ruvumbu расположена на хребтах Ньямашеке, где высота, вулканическая почва и медленное созревание дают исключительную арабику.","Ruvumbu se trouve sur les cr&ecirc;tes de Nyamasheke, o&ugrave; l'altitude, le sol volcanique et une maturation lente produisent un arabica exceptionnel."
"station.p","We manage the full journey from seedling to export, which keeps traceability intact and lets us pay our partner farmers on terms they can plan around.","Мы контролируем весь путь от саженца до экспорта — это сохраняет прослеживаемость и позволяет платить фермерам-партнёрам по предсказуемым условиям.","Nous g&eacute;rons tout le parcours, du semis &agrave; l'exportation, ce qui garantit la tra&ccedil;abilit&eacute; et nous permet de payer nos fermiers partenaires selon des conditions pr&eacute;visibles."
"station.note","Every lot is hand-picked, processed with precision, and cupped at the station before it leaves for the port. Nothing ships that we have not tasted ourselves.","Каждый лот собирается вручную, тщательно обрабатывается и дегустируется на станции перед отправкой в порт. Мы не отправляем то, что не пробовали сами.","Chaque lot est cueilli &agrave; la main, trait&eacute; avec pr&eacute;cision et d&eacute;gust&eacute; &agrave; la station avant de partir vers le port. Rien n'est exp&eacute;di&eacute; sans avoir &eacute;t&eacute; go&ucirc;t&eacute; par nos soins."
"station.metric1","years of operation","лет работы","ann&eacute;es d'activit&eacute;"
"station.metric2","hectares under cultivation","гектаров под выращиванием","hectares cultiv&eacute;s"
"station.metric3","farming families partnered","фермерских семей-партнёров","familles de producteurs partenaires"
"station.metric4","metres above sea level and higher","метров над уровнем моря и выше","m&egrave;tres d'altitude et plus"
"coffee.h2","Harvested with care, processed with precision","Собрано бережно, обработано точно","R&eacute;colt&eacute; avec soin, trait&eacute; avec pr&eacute;cision"
"coffee.lead","Single-origin Rwandan Arabica, in select micro-lots and in consistent commercial grades.","Руандийская арабика одного происхождения — избранные микролоты и стабильные коммерческие сорта.","Arabica rwandais d'origine unique, en micro-lots s&eacute;lectionn&eacute;s et en qualit&eacute;s commerciales constantes."
"coffee.spec.variety.dt","Variety","Сорт","Vari&eacute;t&eacute;"
"coffee.spec.variety.dd","Ruvumbu French Bourbon","Ruvumbu French Bourbon","Ruvumbu French Bourbon"
"coffee.spec.process.dt","Process","Обработка","Proc&eacute;d&eacute;"
"coffee.spec.process.dd","Washed","Мытая","Lav&eacute;"
"coffee.spec.cup.dt","Cup profile","Вкусовой профиль","Profil en tasse"
"coffee.spec.cup.dd","Citrus, black tea, caramel","Цитрус, чёрный чай, карамель","Agrumes, th&eacute; noir, caramel"
"coffee.spec.harvest.dt","Harvest","Сбор урожая","R&eacute;colte"
"coffee.spec.harvest.dd","July","Июль","Juillet"
"coffee.download","Get Offers","Получить цены","Voir les tarifs"
"process.h2","How a cherry becomes a shipment","Как вишня становится партией на экспорт","Comment une cerise devient une exp&eacute;dition"
"process.step1.title","Cultivation","Выращивание","Culture"
"process.step1.desc","Bourbon varietals grown at 1,700 m and above, shaded by banana trees.","Сорта Bourbon выращиваются на высоте от 1700 м, в тени банановых деревьев.","Vari&eacute;t&eacute;s Bourbon cultiv&eacute;es &agrave; 1700 m et plus, &agrave; l'ombre des bananiers."
"process.step2.title","Harvesting","Сбор урожая","R&eacute;colte"
"process.step2.desc","Hand-picked at peak ripeness, then sorted by density and by defect.","Ручной сбор на пике зрелости, затем сортировка по плотности и дефектам.","Cueillies &agrave; la main &agrave; pleine maturit&eacute;, puis tri&eacute;es par densit&eacute; et par d&eacute;faut."
"process.step3.title","Processing","Обработка","Traitement"
"process.step3.desc","Washed, natural or honey. Fermented, then dried on raised African beds.","Мытая, натуральная или медовая обработка. Ферментация и сушка на приподнятых африканских грядках.","Lav&eacute;, naturel ou miel. Ferment&eacute;, puis s&eacute;ch&eacute; sur des lits africains sur&eacute;lev&eacute;s."
"process.step4.title","Export","Экспорт","Exportation"
"process.step4.desc","Cupped, graded and prepared for shipment straight to your roastery.","Дегустация, калибровка и подготовка к отправке прямо на вашу обжарочную.","D&eacute;gust&eacute;, calibr&eacute; et pr&eacute;par&eacute; pour l'exp&eacute;dition directe vers votre torr&eacute;faction."
